LUMO;L_H
-0.12386;0.15119
-0.12968;0.1176
-0.13479;0.13051
-0.132;0.12952
-0.12798;0.13551
-0.11965;0.14329
-0.13839;0.11716
-0.13155;0.13088
-0.13039;0.1386
-0.12618;0.15203
-0.14105;0.13221
-0.1377;0.1307
-0.1079;0.13548
-0.15095;0.13198
-0.14092;0.11501
-0.14905;0.13893
-0.14033;0.11627
-0.14032;0.11602
-0.14048;0.11594
-0.14055;0.11587
-0.14068;0.1157
-0.1479;0.12001
-0.07415;0.15397
-0.1114;0.14454
-0.12887;0.13111
-0.10421;0.14018
-0.11056;0.14354
-0.11878;0.14275
-0.12629;0.12381
-0.11849;0.13298
-0.12557;0.12327
-0.13217;0.12155
-0.12479;0.13171
-0.12435;0.12904
-0.13262;0.12434
-0.10353;0.13743
-0.13891;0.1346
-0.09106;0.1502
-0.12504;0.13801
-0.14544;0.11749
-0.08545;0.15132
-0.10361;0.12904
-0.13699;0.12744
-0.12458;0.13321
-0.10576;0.13779
-0.14402;0.131
-0.13818;0.13123
-0.13234;0.13023
-0.13139;0.13018
-0.13102;0.13018
-0.13078;0.13016
-0.14341;0.12416
-0.14247;0.12413
-0.1422;0.12443
-0.14211;0.12444
-0.08632;0.15131
-0.1022;0.13075
-0.10321;0.13056
-0.14185;0.10386
-0.12508;0.11818
-0.10532;0.13677
-0.08465;0.15164
-0.09825;0.14159
-0.12814;0.12056
-0.12028;0.09203
-0.12461;0.08629
-0.1247;0.10258
-0.1229;0.09664
-0.12231;0.08386
-0.12933;0.09944
-0.12595;0.08512
-0.11402;0.14842
-0.1133;0.1441
-0.11288;0.1454
-0.09153;0.14667
-0.10137;0.14799
-0.08952;0.14695
-0.08998;0.14574
-0.10366;0.13174
-0.09252;0.14141
-0.11218;0.12594
-0.10021;0.13223
-0.08987;0.14123
-0.10876;0.12641
-0.12293;0.11478
-0.13676;0.10065
-0.12274;0.11442
-0.12063;0.11936
-0.1362;0.09899
-0.12481;0.11657
-0.12821;0.10569
-0.12577;0.11236
-0.11871;0.12122
-0.1435;0.12619
-0.12675;0.13907
-0.14161;0.09087
-0.11689;0.12164
-0.11607;0.12086
-0.11603;0.12064
-0.11607;0.12062
-0.11771;0.11862
-0.12529;0.11584
-0.1415;0.08651
-0.13221;0.08683
-0.13293;0.08357
-0.1173;0.12635
-0.11734;0.1216
-0.11785;0.11979
-0.11666;0.12119
-0.10395;0.13502
-0.107;0.13102
-0.11408;0.12914
-0.11854;0.09632
-0.11695;0.09821
-0.12052;0.09793
-0.12226;0.08768
-0.12536;0.08544
-0.12033;0.14823
-0.12383;0.15209
-0.1194;0.14781
-0.10907;0.1392
-0.10651;0.14229
-0.1133;0.14074
-0.11073;0.14417
-0.10794;0.1396
-0.10545;0.14258
-0.11277;0.138
-0.11025;0.14123
-0.10526;0.13977
-0.10065;0.13874
-0.10552;0.1362
-0.10325;0.13738
-0.10153;0.13811
-0.099;0.1391
-0.10562;0.13611
-0.10338;0.13732
-0.13507;0.13614
-0.104;0.16458
-0.10427;0.1633
-0.08411;0.15577
-0.09744;0.15426
-0.08364;0.16251
